"Timestamp","Money should be distributed more evenly.","Everyone should have equal opportunity.","Americaâ€™s current economic system is not perfect.","People are poor because they do not try hard enough.","The rich earned their money 100% legitimately.","Minimum wage should be abolished.","The government is mostly good for us.","Safety is more important than freedom.","Democracy is stupid.","Government power should be limited.","People should have control over their life.","Freedom of speech is important."
"2021/11/29 8:48:08 AM EST","4","5","4","2","3","3","3","3","2","5","4","5"
"2021/11/29 9:35:16 AM EST","5","4","4","2","2","3","3","2","2","3","5","5"
"2021/11/29 9:46:36 AM EST","4","5","5","5","1","4","2","2","3","5","5","5"
"2021/11/29 9:47:03 AM EST","3","5","4","3","3","3","4","3","3","3","5","4"
"2021/11/29 9:47:48 AM EST","3","5","5","1","2","1","3","2","1","5","5","5"
"2021/11/29 9:47:49 AM EST","5","5","5","1","1","3","1","4","5","2","4","1"
"2021/11/29 9:48:23 AM EST","2","5","4","3","3","1","4","1","1","2","5","5"
"2021/11/29 9:48:28 AM EST","4","4","4","1","2","2","4","3","1","4","4","5"
"2021/11/29 9:48:29 AM EST","5","5","4","4","5","5","4","5","4","3","5","3"
"2021/11/29 9:49:00 AM EST","1","3","3","4","4","2","3","1","1","5","5","5"
"2021/11/29 9:49:05 AM EST","4","5","3","2","2","2","4","2","2","4","5","5"
"2021/11/29 9:49:26 AM EST","2","5","5","3","3","2","3","3","1","4","5","5"
"2021/11/29 9:52:51 AM EST","3","4","2","2","2","2","4","5","2","3","4","4"
"2021/11/29 12:52:07 PM EST","4","5","5","3","3","1","4","3","1","2","5","5"
"2021/11/29 1:31:18 PM EST","2","4","4","3","3","2","4","3","1","3","5","5"
"2021/11/29 7:49:43 PM EST","2","4","4","3","2","2","4","3","1","3","5","4"
"2021/11/30 8:01:15 AM EST","5","4","5","1","1","1","1","3","3","5","5","5"
"2021/11/30 8:01:15 AM EST","5","5","5","2","1","5","5","5","5","3","5","5"
"2021/11/30 8:01:25 AM EST","3","5","5","5","1","5","2","5","5","5","5","5"
"2021/11/30 8:01:36 AM EST","4","5","5","1","3","3","3","5","3","4","3","3"
"2021/11/30 8:02:01 AM EST","5","5","3","2","3","4","3","4","3","4","5","5"
"2021/11/30 8:02:13 AM EST","3","4","5","3","2","3","4","2","3","3","5","5"
"2021/11/30 8:02:26 AM EST","3","5","3","2","2","2","2","1","3","3","4","4"
"2021/11/30 8:59:26 AM EST","5","5","5","2","1","5","3","4","3","4","5","5"
"2021/11/30 9:33:41 AM EST","3","5","5","1","3","1","3","3","1","3","5","5"
"2021/11/30 9:34:00 AM EST","2","5","5","2","3","1","3","2","3","3","4","4"
"2021/11/30 9:34:04 AM EST","3","3","3","3","3","3","3","3","3","3","4","3"
"2021/11/30 9:34:16 AM EST","2","5","5","3","1","5","2","3","3","3","5","5"
"2021/11/30 9:34:16 AM EST","5","5","5","3","3","1","4","4","2","3","5","5"
"2021/11/30 9:34:19 AM EST","5","5","5","2","2","2","1","4","3","5","4","4"
"2021/11/30 9:34:34 AM EST","5","5","5","1","1","2","3","2","2","4","4","4"
"2021/11/30 9:34:51 AM EST","2","4","5","3","3","1","4","3","1","5","5","5"
"2021/11/30 9:36:18 AM EST","3","5","5","4","2","2","3","4","3","4","5","5"
"2021/11/30 9:39:50 AM EST","4","4","3","2","5","3","3","5","3","3","4","5"
"2021/11/30 9:40:42 AM EST","2","5","4","4","2","1","2","3","1","5","5","5"
"2021/11/30 11:36:54 AM EST","1","4","2","4","4","2","4","1","2","1","5","4"
"2021/11/30 12:03:11 PM EST","2","4","5","3","3","4","4","4","3","2","3","3"
"2021/11/30 12:09:56 PM EST","2","5","4","4","3","3","4","2","1","2","5","5"
"2021/11/30 12:10:12 PM EST","5","5","5","5","5","5","2","5","5","4","5","3"
"2021/11/30 12:12:18 PM EST","3","4","5","3","1","3","3","3","3","3","4","5"
"2021/11/30 12:15:39 PM EST","2","5","2","3","4","2","3","2","1","5","4","5"
"2021/11/30 12:59:02 PM EST","4","5","4","2","2","1","4","3","2","3","5","5"
"2021/11/30 3:05:34 PM EST","3","5","5","1","3","3","4","4","2","2","4","4"
"2021/12/01 7:59:40 AM EST","3","5","5","3","2","3","4","2","1","3","5","5"
"2021/12/01 7:59:43 AM EST","2","5","4","3","5","5","2","3","1","5","5","5"
"2021/12/01 7:59:52 AM EST","5","5","4","1","2","2","4","3","2","3","3","5"
"2021/12/01 8:00:14 AM EST","1","3","2","5","4","2","2","5","3","3","4","4"
"2021/12/01 8:00:39 AM EST","4","5","4","2","2","1","3","2","1","4","4","5"
"2021/12/01 8:01:16 AM EST","2","4","4","3","3","1","3","3","1","4","5","5"
"2021/12/01 8:03:04 AM EST","4","5","5","1","2","1","4","3","1","2","5","5"
"2021/12/01 8:03:45 AM EST","3","5","5","2","2","3","3","4","1","4","5","5"
"2021/12/01 8:03:47 AM EST","4","5","4","2","3","2","4","4","2","3","5","5"
"2021/12/01 8:03:48 AM EST","5","5","4","5","5","5","3","5","3","3","5","5"
"2021/12/01 8:03:48 AM EST","1","5","3","4","4","4","2","3","3","4","5","5"
"2021/12/01 8:04:18 AM EST","2","5","4","3","2","1","3","3","1","3","5","5"
"2021/12/01 8:04:36 AM EST","1","3","1","3","2","2","5","3","1","2","5","5"
"2021/12/01 8:05:11 AM EST","4","5","5","2","2","2","3","3","1","5","4","5"
"2021/12/01 8:08:44 AM EST","2","3","5","4","4","1","3","1","1","4","5","5"
"2021/12/01 8:35:28 AM EST","3","4","4","2","2","2","2","4","3","4","3","3"
"2021/12/01 9:30:56 AM EST","1","5","5","3","3","2","3","2","2","3","5","5"
"2021/12/01 12:08:51 PM EST","5","5","5","1","1","1","3","3","2","4","5","5"
"2021/12/02 8:22:36 AM EST","5","5","4","2","2","3","3","4","2","4","4","4"
"2021/12/02 8:23:12 AM EST","4","5","4","2","3","2","3","2","2","3","5","5"
"2021/12/02 8:24:29 AM EST","4","3","5","2","2","4","3","3","1","3","5","5"